Player Name                   : Michael
Special Coins Earned          : 18920
Legendary Brawlers Unlocked   : 2
Wins in Special Modes         : 11

Player Name                   : Martí
Special Coins Earned          : 24296
Legendary Brawlers Unlocked   : 0
Wins in Special Modes         : 5

Player Name                   : Arnau
Special Coins Earned          : 10406
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 17

Player Name                   : Oriol
Special Coins Earned          : 19117
Legendary Brawlers Unlocked   : 2
Wins in Special Modes         : 6

Player Name                   : Ella
Special Coins Earned          : 9434
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 17

Player Name                   : John
Special Coins Earned          : 13494
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 9

Player Name                   : Ryan
Special Coins Earned          : 16815
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 17

Player Name                   : Sophia
Special Coins Earned          : 23949
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 2

Player Name                   : Mireia
Special Coins Earned          : 18964
Legendary Brawlers Unlocked   : 2
Wins in Special Modes         : 17

Player Name                   : Guillem
Special Coins Earned          : 16192
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 19

Player Name                   : Laia
Special Coins Earned          : 13683
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 0

Player Name                   : Grace
Special Coins Earned          : 21831
Legendary Brawlers Unlocked   : 0
Wins in Special Modes         : 11

Player Name                   : Isabella
Special Coins Earned          : 9441
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 2

Player Name                   : Albert
Special Coins Earned          : 10773
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 4

Player Name                   : Albert
Special Coins Earned          : 15285
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 15

Player Name                   : Roger
Special Coins Earned          : 20228
Legendary Brawlers Unlocked   : 0
Wins in Special Modes         : 0

Player Name                   : Oriol
Special Coins Earned          : 16019
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 9

Player Name                   : Pau
Special Coins Earned          : 17417
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 18

Player Name                   : Pere
Special Coins Earned          : 12371
Legendary Brawlers Unlocked   : 2
Wins in Special Modes         : 5

Player Name                   : Alex
Special Coins Earned          : 14812
Legendary Brawlers Unlocked   : 0
Wins in Special Modes         : 5

Player Name                   : Clara
Special Coins Earned          : 12775
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 16

Player Name                   : Núria
Special Coins Earned          : 12157
Legendary Brawlers Unlocked   : 0
Wins in Special Modes         : 3

Player Name                   : Mireia
Special Coins Earned          : 6541
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 16

Player Name                   : Nathan
Special Coins Earned          : 21173
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 18

Player Name                   : Emily
Special Coins Earned          : 5402
Legendary Brawlers Unlocked   : 0
Wins in Special Modes         : 11

Player Name                   : Sarah
Special Coins Earned          : 5066
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 9

Player Name                   : Sergi
Special Coins Earned          : 7185
Legendary Brawlers Unlocked   : 2
Wins in Special Modes         : 10

Player Name                   : Pere
Special Coins Earned          : 11843
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 20

Player Name                   : Arnau
Special Coins Earned          : 20789
Legendary Brawlers Unlocked   : 2
Wins in Special Modes         : 4

Player Name                   : Matthew
Special Coins Earned          : 19087
Legendary Brawlers Unlocked   : 3
Wins in Special Modes         : 0

Player Name                   : Daniel
Special Coins Earned          : 23251
Legendary Brawlers Unlocked   : 0
Wins in Special Modes         : 11

Player Name                   : Madison
Special Coins Earned          : 19110
Legendary Brawlers Unlocked   : 0
Wins in Special Modes         : 14

Player Name                   : Marc
Special Coins Earned          : 13154
Legendary Brawlers Unlocked   : 2
Wins in Special Modes         : 19

Player Name                   : Gerard
Special Coins Earned          : 11402
Legendary Brawlers Unlocked   : 2
Wins in Special Modes         : 14

Player Name                   : Sophia
Special Coins Earned          : 11445
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 10

Player Name                   : Arnau
Special Coins Earned          : 9581
Legendary Brawlers Unlocked   : 2
Wins in Special Modes         : 15

Player Name                   : Sophia
Special Coins Earned          : 24975
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 11

Player Name                   : Marc
Special Coins Earned          : 24005
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 6

Player Name                   : Pere
Special Coins Earned          : 12788
Legendary Brawlers Unlocked   : 1
Wins in Special Modes         : 8

Player Name                   : Nathan
Special Coins Earned          : 21035
Legendary Brawlers Unlocked   : 2
Wins in Special Modes         : 13

